Cell_Index_Global	Cage_ID	Cell_Type	Median_intensity_FITC	Median_intensity_TRITC	Median_intensity_Cy5
4802		Undetermined	333	942	2422
4803	14_92	H_Ramos	383	660	15018
4804	14_92	M_B3Z	65431	1196	2687
4808		H_Ramos	340	612	17750
4809	14_94	H_Ramos	328	628	12188
4810		Undetermined	350	630	3204
4814	14_95	H_Ramos	343	677	12038
4815	14_95	M_B3Z	52902	740	2429
4816	14_95	M_B3Z	6084	689	2702
4823		H_Ramos	308	628	16834
4824	14_96	H_Ramos	335	757	15529
4825	14_96	H_Ramos	337	749	19656
4826	14_96	H_Ramos	351	833	15146
4827	14_97	M_B3Z	51253	992	3231
4829	14_98	H_Ramos	325	625	10335
4833		H_Ramos	384	702	18875
4834	14_99	M_B3Z	31726	945	3232
4835		Undetermined	8309	55647	56820
4837		Undetermined	419	1878	3797
4839	14_101	M_B3Z	30079	777	2405
4842	14_101	H_Ramos	332	590	19454
4846		Undetermined	391	648	19946
4847	14_102	H_Ramos	358	624	18471
4849		H_Ramos	339	752	19684
4850	14_103	H_Ramos	314	611	24809
4851	13_103	M_B3Z	36558	1040	2385
4853	13_104	H_Ramos	384	842	21228
4854	14_105	M_B3Z	48450	855	2596
4855	14_105	M_B3Z	60889	1027	2531
4856		M_B3Z	65433	1061	2840
4857	14_105	H_Ramos	343	771	17538
4859		Undetermined	257	621	2257
4861		Undetermined	345	638	2381
4862	14_107	Undetermined	323	666	2125
4863		M_B3Z	3881	1205	2958
4864		Undetermined	281	627	1987
4865	14_108	M_B3Z	57949	1003	2209
4866		Undetermined	280	589	1916
4867		H_Ramos	438	999	14392
4868	14_109	M_B3Z	65434	994	1985
4870		Undetermined	356	685	2160
4873		Undetermined	344	763	2360
4874	13_109	H_Ramos	402	1096	23057
4875		M_B3Z	34066	1267	3084
4876		M_B3Z	44612	1098	2573
4877	14_110	M_B3Z	44057	1279	2484
4878	13_111	Undetermined	57242	2319	3378
4879	14_111	Undetermined	65433	1891	2987
4880	14_111	M_B3Z	38715	1428	2779
4882		Undetermined	33115	2982	4083
4883	13_112	Undetermined	416	1915	11919
4884	13_112	M_B3Z	65388	65435	65434
4887	13_112	Undetermined	24758	65438	65438
4888		M_B3Z	60131	65438	65438
4889		Undetermined	65435	65438	65438
4890		Undetermined	42661	65438	65438
4891	16_0	Undetermined	881	3277	20715
4892		Undetermined	65433	3452	4807
4893	17_0	Undetermined	54104	3119	4456
4894		Undetermined	749	3563	5340
4895	17_1	M_B3Z	59139	1514	3229
4896	16_1	M_B3Z	62127	1320	3278
4897	16_1	Undetermined	558	1100	3256
4898	17_3	M_B3Z	51072	994	2566
4899	16_3	M_B3Z	28334	918	2492
4901		Undetermined	293	629	2283
4903	17_4	M_B3Z	54325	865	2672
4904	16_4	M_B3Z	58448	1095	3017
4905	16_4	H_Ramos	483	863	21048
4907	17_5	H_Ramos	400	661	31338
4908	17_5	H_Ramos	435	677	21926
4909	17_5	H_Ramos	393	634	11975
4910		Undetermined	356	962	2603
4911	16_5	M_B3Z	25937	869	2732
4912		H_Ramos	619	1855	13227
4914	17_6	M_B3Z	37234	681	1895
4919	16_6	Undetermined	13718	921	14632
4920	16_6	H_Ramos	429	688	22371
4921		M_B3Z	47232	891	2853
4922	17_7	M_B3Z	49387	870	2578
4923	17_7	H_Ramos	359	576	8736
4924	16_7	H_Ramos	421	676	14984
4925		Undetermined	368	584	2703
4926	16_8	M_B3Z	58321	966	2795
4927	16_8	H_Ramos	406	707	11967
4928	16_8	M_B3Z	33874	677	2417
4931	16_9	M_B3Z	34727	845	2912
4932	16_9	M_B3Z	65434	1082	2871
4933		Undetermined	352	597	2851
4934	16_9	M_B3Z	65434	917	2946
4936		M_B3Z	64001	891	2936
4937	16_10	H_Ramos	419	635	18685
4938		Undetermined	267	540	2300
4939	16_10	M_B3Z	45950	781	2974
4941	16_11	H_Ramos	384	578	13460
4942	16_11	H_Ramos	332	549	17260
4943	17_11	H_Ramos	303	524	14103
4947	17_11	Undetermined	290	567	2511
4948		H_Ramos	385	601	12861
4949		Undetermined	356	586	3064
4952	16_13	M_B3Z	65433	1113	2911
4953	16_13	M_B3Z	41142	793	2913
4954	17_13	M_B3Z	65432	845	2558
4956		Undetermined	272	957	2957
4957	16_14	M_B3Z	10733	643	2592
4959	17_14	M_B3Z	22639	547	2179
4960	16_14	M_B3Z	23014	601	2348
4963	17_14	H_Ramos	475	649	23046
4966	16_14	M_B3Z	37431	819	3079
4967	17_14	M_B3Z	28229	796	2677
4968	16_14	Undetermined	58347	36600	3175
4969		Undetermined	314	669	2577
4970		Undetermined	313	902	22185
4971	17_15	M_B3Z	65431	1034	2990
4972	16_15	H_Ramos	443	707	17130
4973	16_15	Undetermined	2404	779	3311
4975		Undetermined	397	702	3260
4977	17_17	H_Ramos	380	804	20715
4978	17_17	M_B3Z	43742	1169	3035
4979	17_17	H_Ramos	392	827	24665
4980	17_18	M_B3Z	65432	1012	3202
4982	17_18	M_B3Z	37529	833	3122
4983	17_18	H_Ramos	377	713	17583
4985	16_19	M_B3Z	61390	929	3421
4986	17_19	M_B3Z	65435	978	2952
4987	17_19	M_B3Z	24670	852	2720
4988	17_19	M_B3Z	49684	949	2583
4989		M_B3Z	4844	970	3426
4996	16_20	H_Ramos	362	715	15211
4997	17_20	M_B3Z	62926	1013	3346
4998	16_20	M_B3Z	60175	999	3751
4999	16_20	H_Ramos	449	813	15152
5000	16_20	H_Ramos	412	817	19921
5001	16_20	H_Ramos	393	729	14447
5003	17_20	M_B3Z	65433	968	3525
5004	16_20	M_B3Z	41220	1043	3827
5005	17_21	M_B3Z	60509	858	3078
5006	16_21	M_B3Z	48669	1053	3646
5007	16_21	M_B3Z	65432	1137	3788
5008	17_21	H_Ramos	366	718	23049
5009	16_21	H_Ramos	462	810	15959
5010	16_21	H_Ramos	400	751	17784
5011	16_21	H_Ramos	412	781	15065
5012	17_22	Undetermined	271	594	8205
5013	16_22	H_Ramos	374	701	22067
5016	17_23	M_B3Z	54817	884	3267
5017	17_23	M_B3Z	35273	916	3462
5018	17_23	M_B3Z	34544	805	3089
5021	16_24	H_Ramos	364	757	11959
5022		Undetermined	308	1030	3491
5024	16_25	M_B3Z	53584	966	3151
5025	17_25	M_B3Z	32349	747	2483
5032	17_25	M_B3Z	61179	1027	3741
5033	16_25	H_Ramos	415	963	25938
5035	16_26	H_Ramos	401	997	32371
5036	17_26	M_B3Z	65434	1215	3999
5037	17_26	M_B3Z	65434	1133	3777
5038	16_26	M_B3Z	65433	1392	4422
5042	16_28	H_Ramos	397	863	22876
5043	17_28	M_B3Z	45768	916	3734
5044	17_28	M_B3Z	55190	1016	3757
5046	17_29	M_B3Z	65434	1185	3886
5047	16_29	H_Ramos	404	873	19103
5048	16_29	M_B3Z	25074	936	4166
5050	17_30	M_B3Z	65431	1024	3155
5051	17_30	M_B3Z	37733	755	3019
5052	17_30	M_B3Z	30012	704	3097
5053	16_30	M_B3Z	7589	830	12795
5059	16_31	H_Ramos	384	901	19516
5061		Undetermined	6180	2118	5151
5062	16_31	M_B3Z	44345	1049	4139
5063	16_32	M_B3Z	65433	1243	4051
5064	16_32	M_B3Z	48014	996	4004
5065	17_32	M_B3Z	39766	917	3403
5066	16_32	M_B3Z	41409	1094	3863
5067	16_32	H_Ramos	511	828	15038
5068	16_32	M_B3Z	55974	1049	4029
5069	16_33	M_B3Z	47483	932	3465
5071	17_33	M_B3Z	50860	884	3193
5072	16_33	M_B3Z	65434	1807	3918
5073		Undetermined	363	871	4107
5074	16_34	M_B3Z	2952	955	4904
5075	16_34	M_B3Z	62650	1094	4169
5076	16_34	Undetermined	4428	986	4232
5077	16_35	H_Ramos	408	886	14434
5078	17_35	Undetermined	195	584	2647
5079		Undetermined	255	931	3258
5081	16_36	M_B3Z	59652	1074	3695
5082	16_36	M_B3Z	56348	1162	3738
5083	17_36	M_B3Z	55617	949	3248
5084	16_36	Undetermined	347	862	3854
5085	16_37	H_Ramos	404	868	19188
5086	16_37	H_Ramos	452	1093	18167
5087	16_37	M_B3Z	65269	1377	3814
5088	17_37	M_B3Z	56103	988	3407
5089	16_37	M_B3Z	33822	947	3717
5090		Undetermined	342	1113	29537
5092	17_38	H_Ramos	233	610	10072
5094	15_38	Undetermined	251	1021	3176
5098		Undetermined	311	763	3420
5099		H_Ramos	381	754	20209
5100	16_39	H_Ramos	387	864	20196
5101		Undetermined	350	832	3722
5102	16_40	M_B3Z	65434	1024	3537
5103	17_41	H_Ramos	227	608	10903
5104	16_41	M_B3Z	26231	819	3026
5107	16_41	M_B3Z	31560	932	3044
5108	16_41	H_Ramos	336	675	14613
5110	16_41	Undetermined	3105	744	11654
5119	16_41	H_Ramos	441	827	19638
5120		H_Ramos	330	1090	24580
5121	16_42	H_Ramos	400	938	16260
5124	16_43	H_Ramos	439	847	19518
5125		M_B3Z	48645	1105	3804
5126	16_43	M_B3Z	52503	1020	3745
5127	15_43	M_B3Z	5210	1388	3503
5128	17_43	H_Ramos	333	729	16847
5129	17_43	M_B3Z	47773	969	3033
5131	16_43	H_Ramos	400	798	20256
5133	16_44	H_Ramos	382	676	13345
5135	15_44	M_B3Z	15722	1045	2901
5137	16_44	M_B3Z	40328	1273	3599
5139	16_45	M_B3Z	63811	1759	3746
5140	17_45	H_Ramos	299	806	14061
5142		M_B3Z	4685	969	3801
5143	16_46	H_Ramos	353	815	15119
5146	17_47	H_Ramos	306	998	10419
5147	16_47	M_B3Z	59325	1434	3391
5148	17_47	H_Ramos	311	1005	12737
5149	16_47	H_Ramos	370	1042	16211
5150		Undetermined	323	930	3477
5152		M_B3Z	40054	1366	3637
5157	16_49	H_Ramos	322	987	9924
5158		M_B3Z	58655	1314	3194
5159	16_49	H_Ramos	326	1022	14196
5164	16_50	H_Ramos	354	970	20240
5166	16_50	H_Ramos	361	992	19349
5167		H_Ramos	345	1162	15157
5169	16_51	H_Ramos	373	997	11328
5170		M_B3Z	20708	1049	4150
5171	16_52	M_B3Z	32330	862	3279
5172	16_52	H_Ramos	330	762	15105
5178	16_54	M_B3Z	36659	977	3245
