	UMAP1_sc	UMAP2_sc	Clusters_sc	Cell_type_img	UMAP1_CP_sc	UMAP2_CP_sc	Clusters_CP_sc	UMAP1_bimodal_sc	UMAP2_bimodal_sc	Clusters_bimodal_sc
13_13	5.3614106	1.4457326	1	Mouse	8.419885	2.0776198	0	-4.6659455	2.5486317	2
13_22	3.899144	0.24329174	1	Mouse	4.127676	6.918583	2	-1.3515759	0.46684116	4
13_23	9.143737	6.155516	2	Mouse	10.240067	-1.3614714	0	0.12776938	0.97302336	4
13_33	7.5284815	4.9385967	1	Mouse	6.0176773	4.247844	2	1.6522064	-1.4355481	4
13_41	3.0008364	6.1679745	0	Mouse	16.546637	3.9506223	0	-3.1012034	-1.5490272	0
13_46	8.935439	8.735435	2	Mouse	9.321277	1.3673221	0	-2.4561388	-3.3009326	1
13_69	12.744977	1.8734281	1	Mouse	10.993815	3.3341882	0	-1.0358555	-1.197663	0
13_86	4.7760835	1.5170447	1	Mouse	6.3353624	1.1189938	1	-2.6489182	3.7213378	2
13_88	7.9521837	0.18283775	1	Mouse	11.353324	4.2412014	0	-2.454076	-1.4383192	1
13_92	9.097507	8.714334	2	Mouse	4.860661	9.218768	2	-2.6447449	0.6327907	0
13_100	9.925301	8.13911	2	Mouse	3.416731	7.1254945	2	0.5289346	-0.5753929	4
13_111	10.185041	2.6040883	1	Undetermined_cells	13.862927	3.1798842	0	-1.4607055	0.9717692	0
14_3	15.4024515	3.818384	2	Undetermined_cells	9.079139	3.5643747	0	-5.0356054	0.51458925	6
14_10	-4.1493654	1.838132	0	Human	16.803358	5.228009	0	1.1535236	2.6959016	3
14_17	14.956949	5.41637	2	Human	4.607698	5.9795732	2	0.8442051	-2.5091174	1
14_18	4.9882092	6.346357	0	Mouse	5.525528	-3.3543367	1	1.9457315	-1.9683416	4
14_31	4.291518	7.687499	0	Mouse	10.527284	0.14691521	0	-2.6843123	-0.7814703	0
14_40	11.880421	0.5337159	1	Mouse	8.619127	-1.6520548	1	2.3377328	-3.9476826	5
14_47	3.001574	1.8521111	0	Mouse	10.699866	1.2519479	0	-1.9894751	-0.876489	4
